CIEL ID,Concept UUID,Reason,Existing Spanish names,Spanish names in 2024
83642,83642AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
83477,83477AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
1446,1446AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
83356,83356AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
833,833AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
83189,83189AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
830,830AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
828,828AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
82724,82724AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
82701,82701AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
824,824AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
82384,82384AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
144276,144276AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
82293,82293AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
82238,82238AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
82154,82154AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
82122,82122AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
82017,82017AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
82000,82000AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
144066,144066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
143899,143899AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
81452,81452AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
814,814AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,0,1
143814,143814AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,no unique Spanish preferred candidate,1,1
