Concept,Member,Member Type,Sort Weight,_version:1,_order:1300
d6344fab-5e07-11ef-8f7c-0242ac120002,Lab Samples,CONCEPT-SET,1,,
d6344fab-5e07-11ef-8f7c-0242ac120002,9bb0795c-4ff0-0305-1990-000000000048,CONCEPT-SET,2,,
d6344fab-5e07-11ef-8f7c-0242ac120002,6a8bb973-e61e-4fbb-b7ca-94ebf163874e,CONCEPT-SET,3,,
